env,run,dns,tcp,tls,ttfb,total
legacy,1,0.114921,0.115192,0.333054,0.394908,0.395018
legacy,2,0.019892,0.020118,0.118334,0.176858,0.176991
legacy,3,0.020967,0.02123,0.092252,0.136093,0.136165
legacy,4,0.005626,0.005869,0.064119,0.105755,0.105822
legacy,5,0.004634,0.004784,0.077327,0.118732,0.118826
legacy,6,0.019302,0.019593,0.080227,0.122597,0.122658
legacy,7,0.005557,0.005684,0.060693,0.106101,0.106159
legacy,8,0.00465,0.004894,0.070411,0.111892,0.112006
legacy,9,0.005743,0.006003,0.075872,0.117562,0.117638
legacy,10,0.011,0.011294,0.070759,0.118273,0.118333
legacy,11,0.003539,0.003702,0.059138,0.100918,0.10099
legacy,12,0.005243,0.005475,0.075945,0.116811,0.116877
legacy,13,0.00477,0.004889,0.06953,0.110417,0.110496
legacy,14,0.008973,0.00922,0.068309,0.110336,0.110401
legacy,15,0.007526,0.007756,0.066734,0.109089,0.109146
legacy,16,0.004515,0.004682,0.094444,0.136755,0.136835
legacy,17,0.017906,0.018128,0.077805,0.125019,0.125079
legacy,18,0.004862,0.005027,0.062116,0.103882,0.103946
legacy,19,0.005536,0.00571,0.073051,0.114591,0.114675
legacy,20,0.023219,0.023456,0.080538,0.122714,0.122766
legacy,21,0.005517,0.005627,0.056564,0.099088,0.099162
legacy,22,0.00447,0.004741,0.061265,0.10315,0.103254
legacy,23,0.005169,0.005417,0.072195,0.113006,0.113134
legacy,24,0.021952,0.022252,0.081675,0.129583,0.129697
legacy,25,0.005683,0.005985,0.108712,0.151343,0.151475
legacy,26,0.005565,0.00585,0.065285,0.115835,0.115915
legacy,27,0.010261,0.010531,0.078176,0.119639,0.119718
legacy,28,0.038265,0.038555,0.096631,0.137536,0.13758
legacy,29,0.004567,0.0047,0.056722,0.100718,0.100773
legacy,30,0.004571,0.004739,0.057014,0.098476,0.098534
legacy,31,0.005566,0.005803,0.083105,0.124409,0.124487
legacy,32,0.03098,0.031309,0.168007,0.209728,0.209855
legacy,33,0.005798,0.006045,0.061609,0.106719,0.106786
legacy,34,0.003773,0.003931,0.058521,0.119317,0.119405
legacy,35,0.007636,0.007859,0.096881,0.151277,0.151331
legacy,36,0.004467,0.004558,0.090278,0.131954,0.132084
legacy,37,0.031378,0.031673,0.1478,0.190603,0.190695
